Date,Open,High,Low,Close,Adj Close,Volume
10/13/2016,54.560001,55.029999,54.189999,54.810001,51.847446,380900
10/14/2016,55.009998,55.549999,54.41,54.540001,51.592045,448000
10/17/2016,54.490002,54.77,54.23,54.630001,51.677189,325500
10/18/2016,55.09,55.34,54.919998,54.98,52.008255,389400
10/19/2016,55.150002,55.52,54.93,55.259998,52.273132,380200
10/20/2016,55.060001,55.279999,54.419998,54.75,51.790695,818200
10/21/2016,54.509998,54.509998,54.02,54.279999,51.346104,582700
10/24/2016,54.599998,55.25,54.450001,55.139999,52.159611,494100
10/25/2016,54.880001,55.099998,54.200001,54.349998,51.412304,288200
10/26/2016,54.009998,54.5,53.93,54.060001,51.137993,270300
10/27/2016,54.259998,54.450001,53.459999,53.709999,50.8069,637900
10/28/2016,53.669998,54.669998,53.669998,54.369999,51.431232,660100
10/31/2016,54.610001,54.84,54.200001,54.610001,51.65826,554900
11/1/2016,54.66,54.919998,54.095001,54.419998,51.478527,764100
11/2/2016,55.43,57,55.099998,55.630001,52.623131,1329800
11/3/2016,55.59,56.41,53.869999,56.16,53.124477,925900
11/4/2016,56.080002,56.445,55.639999,55.669998,52.660961,448000
11/7/2016,56.68,57.07,56.259998,56.990002,53.909626,885500
11/8/2016,56.779999,57.240002,56.580002,56.73,53.66367,447000
11/9/2016,55.77,56.509998,55.049999,56.369999,53.323135,491400
11/10/2016,56.860001,56.860001,54.540001,55.099998,52.121769,691300
11/11/2016,54.959999,56.119999,54.560001,55.889999,52.86908,469400
11/14/2016,56.34,56.580002,55.540001,55.740002,52.727173,665900
11/15/2016,56,56.32,55.75,56.029999,53.001507,694200
11/16/2016,56.029999,57.419998,55.91,57.32,54.221771,533000
11/17/2016,57.259998,58.220001,57.259998,58.18,55.035305,607900
11/18/2016,58.290001,58.59,57.68,57.799999,54.675835,570300
11/21/2016,58.130001,58.279999,57.400002,58.27,55.120434,556100
11/22/2016,57.990002,58.470001,57.419998,58.400002,55.243412,673500
11/23/2016,58.400002,58.849998,58.165001,58.68,55.508266,572400
11/25/2016,58.540001,59.02,58.5,58.900002,55.716377,284400
11/28/2016,58.91,59.080002,58.509998,58.91,55.725849,708800
11/29/2016,59.080002,59.23,58.59,58.650002,55.479893,739500
11/30/2016,58.610001,58.610001,57.240002,57.700001,54.581242,1035800
12/1/2016,57.849998,58.220001,56.5,57.150002,54.060966,936200
12/2/2016,57.299999,57.310001,56.669998,56.91,53.833942,728000
12/5/2016,57.029999,58.049999,56.720001,57.98,54.846107,628900
12/6/2016,58.200001,58.389999,57.740002,58.369999,55.215031,513000
12/7/2016,58.18,58.709999,57.915001,58.700001,55.527195,705900
12/8/2016,58.700001,59.360001,58.380001,59.259998,56.056923,412600
12/9/2016,59.549999,59.549999,58.790001,59.099998,55.905567,319700
12/12/2016,58.759998,59.540001,58.43,58.959999,55.773136,539000
12/13/2016,59.259998,60.040001,59.259998,59.900002,56.662327,893900
12/14/2016,59.720001,60.389999,59.310001,59.32,56.113674,629600
12/15/2016,59.32,59.639999,59.060001,59.139999,55.943401,711400
12/16/2016,59.119999,59.939999,58.959,59.580002,56.493359,1522200
12/19/2016,59.82,60.599998,59.27,60.549999,57.413105,1328000
12/20/2016,60.869999,61.032001,60.439999,60.990002,57.830318,629200
12/21/2016,60.790001,61.213001,60.400002,60.439999,57.308807,448600
12/22/2016,60.400002,60.400002,59.689999,60.18,57.062271,282700
12/23/2016,60.32,60.619999,59.630001,60.540001,57.403618,338300
12/27/2016,60.540001,61.25,60.509998,60.759998,57.612228,407900
12/28/2016,60.73,60.73,60.02,60.25,57.128647,395900
12/29/2016,60.07,60.73,59.689999,60.650002,57.507931,396500
12/30/2016,60.77,60.77,59.57,59.689999,56.597656,729300
1/3/2017,59.740002,60.060001,58.700001,58.810001,55.763252,767600
1/4/2017,59.07,60.080002,58.52,59.740002,56.645084,663200
1/5/2017,59.450001,60.189999,59.450001,59.700001,56.607143,463800
1/6/2017,59.59,60.27,59.148998,60.150002,57.033833,556700
1/9/2017,60.060001,60.5,59.73,60.18,57.062271,606500
1/10/2017,60.169998,60.240002,59.450001,59.700001,56.607143,794600
1/11/2017,59.759998,60.049999,59.389999,59.759998,56.664032,638700
1/12/2017,59.669998,60.380001,58.669998,60.299999,57.176056,549500
1/13/2017,60.5,61.139999,60.48,60.650002,57.507931,369200
1/17/2017,60.299999,60.299999,59.665001,59.91,56.806263,445300
1/18/2017,60.130001,60.299999,59.84,59.959999,56.853672,571000
1/19/2017,60,60.25,59.689999,59.970001,56.863159,720000
1/20/2017,60,60.59,59.970001,60.48,57.346729,422700
1/23/2017,60.110001,60.68,59.924999,60.299999,57.176056,378600
1/24/2017,60.369999,61.860001,60.369999,61.669998,58.475082,595700
1/25/2017,61.610001,62.360001,61.465,62.32,59.091408,681600
1/26/2017,62.099998,62.349998,61.849998,62.099998,58.882809,593600
1/27/2017,62.18,62.57,61.779999,62.439999,59.205189,426800
1/30/2017,61.93,62.209999,61.419998,62.150002,58.930218,628400
1/31/2017,62.09,62.630001,62.060001,62.549999,59.30949,881700
2/1/2017,62.860001,63.299,61.720001,62.049999,58.8354,1469700
2/2/2017,63.709999,65.029999,62.380001,64.010002,60.693859,1984800
2/3/2017,64.730003,65.419998,64.397003,65,61.632568,1742800
2/6/2017,65,65.540001,64.690002,64.919998,61.556713,913900
2/7/2017,65.019997,65.324997,64.470001,64.709999,61.357597,716100
2/8/2017,64.529999,64.980003,64.32,64.849998,61.490341,512000
2/9/2017,65,65.419998,64.739998,65.32,61.935982,893800
2/10/2017,65.410004,65.489998,65.089996,65.190002,61.812725,530600
2/13/2017,65.279999,65.620003,65.019997,65.559998,62.163551,714200
2/14/2017,65.32,65.940002,65.150002,65.879997,62.466976,680000
2/15/2017,65.739998,65.800003,64.970001,64.980003,61.613598,937500
2/16/2017,65.169998,65.540001,64.650002,65.010002,61.642048,976500
2/17/2017,64.760002,65.519997,64.269997,65.470001,62.078232,1458800
2/21/2017,65.389999,66.050003,64.894997,65.610001,62.210964,772800
2/22/2017,65.580002,66.57,65.550003,66.419998,62.978989,1090000
2/23/2017,66.580002,66.830002,66.144997,66.360001,62.922104,702200
2/24/2017,66.099998,67.029999,66.050003,66.629997,63.178123,804700
2/27/2017,66.550003,66.93,66.32,66.57,63.254147,738900
2/28/2017,66.410004,66.730003,66.279999,66.43,63.121105,693100
3/1/2017,67.059998,67.209999,66.510002,66.629997,63.311142,1022000
3/2/2017,66.580002,66.779999,66.099998,66.239998,62.940563,542500
3/3/2017,66.25,67.489998,66.169998,67.339996,63.985783,678500
3/6/2017,67.260002,67.339996,66.219002,66.550003,63.23513,587900
3/7/2017,66.550003,66.900002,65.849998,66.550003,63.23513,643500
3/8/2017,66.75,66.82,65.803001,66.489998,63.178123,659000
3/9/2017,66.510002,66.75,66.099998,66.43,63.121105,348600
3/10/2017,66.989998,67.089996,66.199997,66.540001,63.225636,620800
3/13/2017,66.519997,66.779999,66.419998,66.669998,63.349163,708600
3/14/2017,66.589996,66.830002,66.160004,66.379997,63.073608,426600
3/15/2017,66.660004,67,66.400002,66.559998,63.244644,814800
3/16/2017,66.519997,66.93,66.389999,66.519997,63.206627,654300
3/17/2017,66.760002,67.25,66.400002,66.519997,63.206627,1762200
3/20/2017,66.519997,66.684998,66.160004,66.190002,62.893059,620200
3/21/2017,66.330002,66.440002,64.739998,64.889999,61.657818,1039600
3/22/2017,64.269997,65.18,64.269997,65,61.762341,641000
3/23/2017,64.940002,65.330002,63.889999,65.129997,61.885868,822600
3/24/2017,65.110001,65.440002,64.720001,64.879997,61.648312,887700
3/27/2017,64.379997,64.860001,63.98,64.650002,61.429779,646500
3/28/2017,64.57,65.169998,63.976002,64.949997,61.714836,994600
3/29/2017,64.879997,65.190002,64.720001,64.980003,61.743336,680800
3/30/2017,64.959999,65.120003,64.589996,64.800003,61.572304,695800
3/31/2017,64.739998,65.139999,64.644997,65.010002,61.771847,1235600
4/3/2017,64.849998,65.080002,64.400002,64.480003,61.26825,1070400
4/4/2017,64.129997,64.989998,63.84,63.880001,60.698128,943700
4/5/2017,64.010002,64.114998,63.240002,63.48,60.318058,1027700
4/6/2017,63.599998,63.93,63.200001,63.869999,60.688637,1458300
4/7/2017,63.639999,64.540001,63.509998,64.379997,61.17321,992300
4/10/2017,64.410004,64.68,64.040001,64.660004,61.439285,529500
4/11/2017,64.599998,64.919998,64.220001,64.910004,61.676826,1031000
4/12/2017,64.849998,65.279999,64.540001,64.690002,61.467793,660800
4/13/2017,64.68,64.870003,64.18,64.220001,61.021191,767600
4/17/2017,64.190002,64.629997,64.175003,64.440002,61.230232,634800
4/18/2017,64.360001,64.970001,64.169998,64.870003,61.638817,745100
4/19/2017,65.160004,65.279999,64.519997,65.010002,61.771847,1075800
4/20/2017,65.150002,65.160004,64.580002,64.75,61.524796,757200
4/21/2017,64.839996,64.900002,64.400002,64.580002,61.36327,710800
4/24/2017,65.089996,65.779999,64.449997,65.57,62.303951,1063200
4/25/2017,65.889999,65.889999,65.269997,65.290001,62.037895,667100
4/26/2017,65.290001,65.290001,64.830002,64.889999,61.657818,894500
4/27/2017,64.949997,65.199997,64.75,65,61.762341,1254400
4/28/2017,65.019997,65.230003,64.489998,65.010002,61.771847,1336400
5/1/2017,65.139999,65.220001,64.800003,64.889999,61.657818,1300400
5/2/2017,64.93,64.93,61.939999,62.959999,59.823952,2137400
5/3/2017,62.830002,62.924999,61.93,62.110001,59.016285,1494800
5/4/2017,61.889999,62.200001,61.455002,61.509998,58.446182,673200
