Date,Close,Returns
10/12/2021,"14,465.92",
10/11/2021,"14,486.20",20.28
10/8/2021,"14,579.54",93.34
10/7/2021,"14,654.02",74.48
10/6/2021,"14,501.91",-152.11
10/5/2021,"14,433.83",-68.08
10/4/2021,"14,255.48",-178.35
10/1/2021,"14,566.70",311.22
9/30/2021,"14,448.58",-118.12
9/29/2021,"14,512.44",63.86
9/28/2021,"14,546.68",34.24
9/27/2021,"14,969.97",423.29
9/24/2021,"15,047.70",77.73
9/23/2021,"15,052.24",4.54
9/22/2021,"14,896.85",-155.39
9/21/2021,"14,746.40",-150.45
9/20/2021,"14,713.90",-32.5
9/17/2021,"15,043.97",330.07
9/16/2021,"15,181.92",137.95
9/15/2021,"15,161.53",-20.39
9/14/2021,"15,037.76",-123.77
9/13/2021,"15,105.58",67.82
9/10/2021,"15,115.49",9.91
9/9/2021,"15,248.25",132.76
9/8/2021,"15,286.64",38.39
9/7/2021,"15,374.33",87.69
9/3/2021,"15,363.52",-10.81
9/2/2021,"15,331.18",-32.34
9/1/2021,"15,309.38",-21.8
8/31/2021,"15,259.24",-50.14
8/30/2021,"15,265.89",6.65
8/27/2021,"15,129.50",-136.39
8/26/2021,"14,945.81",-183.69
8/25/2021,"15,041.86",96.05
8/24/2021,"15,019.80",-22.06
8/23/2021,"14,942.65",-77.15
8/20/2021,"14,714.66",-227.99
8/19/2021,"14,541.79",-172.87
8/18/2021,"14,525.91",-15.88
8/17/2021,"14,656.18",130.27
8/16/2021,"14,793.76",137.58
8/13/2021,"14,822.90",29.14
8/12/2021,"14,816.26",-6.64
8/11/2021,"14,765.14",-51.12
8/10/2021,"14,788.09",22.95
8/9/2021,"14,860.18",72.09
8/6/2021,"14,835.76",-24.42
8/5/2021,"14,895.12",59.36
8/4/2021,"14,780.53",-114.59
8/3/2021,"14,761.29",-19.24
8/2/2021,"14,681.07",-80.22
7/30/2021,"14,672.68",-8.39
7/29/2021,"14,778.26",105.58
7/28/2021,"14,762.58",-15.68
7/27/2021,"14,660.58",-102
7/26/2021,"14,840.71",180.13
7/23/2021,"14,836.99",-3.72
7/22/2021,"14,684.60",-152.39
7/21/2021,"14,631.95",-52.65
7/20/2021,"14,498.88",-133.07
7/19/2021,"14,274.98",-223.9
7/16/2021,"14,427.24",152.26
7/15/2021,"14,543.13",115.89
7/14/2021,"14,644.95",101.82
7/13/2021,"14,677.65",32.7
7/12/2021,"14,733.24",55.59
7/9/2021,"14,701.92",-31.32
7/8/2021,"14,559.78",-142.14
7/7/2021,"14,665.06",105.28
7/6/2021,"14,663.64",-1.42
7/2/2021,"14,639.33",-24.31
7/1/2021,"14,522.38",-116.95
6/30/2021,"14,503.95",-18.43
6/29/2021,"14,528.33",24.38
6/28/2021,"14,500.51",-27.82
6/25/2021,"14,360.39",-140.12
6/24/2021,"14,369.71",9.32
6/23/2021,"14,271.73",-97.98
6/22/2021,"14,253.27",-18.46
6/21/2021,"14,141.48",-111.79
6/18/2021,"14,030.38",-111.1
6/17/2021,"14,161.35",130.97
6/16/2021,"14,039.68",-121.67
6/15/2021,"14,072.86",33.18
6/14/2021,"14,174.14",101.28
6/11/2021,"14,069.42",-104.72
6/10/2021,"14,020.33",-49.09
6/9/2021,"13,911.75",-108.58
6/8/2021,"13,924.91",13.16
6/7/2021,"13,881.72",-43.19
6/4/2021,"13,814.49",-67.23
6/3/2021,"13,614.51",-199.98
6/2/2021,"13,756.33",141.82
6/1/2021,"13,736.48",-19.85
5/28/2021,"13,748.74",12.26
5/27/2021,"13,736.28",-12.46
5/26/2021,"13,738.00",1.72
5/25/2021,"13,657.17",-80.83
5/24/2021,"13,661.17",4
5/21/2021,"13,470.99",-190.18
5/20/2021,"13,535.74",64.75
5/19/2021,"13,299.74",-236
5/18/2021,"13,303.64",3.9
5/17/2021,"13,379.05",75.41
5/14/2021,"13,429.98",50.93
5/13/2021,"13,124.99",-304.99
5/12/2021,"13,031.68",-93.31
5/11/2021,"13,389.43",357.75
5/10/2021,"13,401.86",12.43
5/7/2021,"13,752.24",350.38
5/6/2021,"13,632.84",-119.4
5/5/2021,"13,582.42",-50.42
5/4/2021,"13,633.50",51.08
5/3/2021,"13,895.12",261.62
4/30/2021,"13,962.68",67.56
4/29/2021,"14,082.55",119.87
4/28/2021,"14,051.03",-31.52
4/27/2021,"14,090.22",39.19
4/26/2021,"14,138.78",48.56
4/23/2021,"14,016.81",-121.97
4/22/2021,"13,818.41",-198.4
4/21/2021,"13,950.22",131.81
4/20/2021,"13,786.27",-163.95
4/19/2021,"13,914.77",128.5
4/16/2021,"14,052.34",137.57
4/15/2021,"14,038.76",-13.58
4/14/2021,"13,857.84",-180.92
4/13/2021,"13,996.10",138.26
4/12/2021,"13,850.00",-146.1
4/9/2021,"13,900.19",50.19
4/8/2021,"13,829.31",-70.88
4/7/2021,"13,688.84",-140.47
4/6/2021,"13,698.38",9.54
4/5/2021,"13,705.59",7.21
4/1/2021,"13,480.11",-225.48
3/31/2021,"13,246.87",-233.24
3/30/2021,"13,045.39",-201.48
3/29/2021,"13,059.65",14.26
3/26/2021,"13,138.72",79.07
3/25/2021,"12,977.68",-161.04
3/24/2021,"12,961.89",-15.79
3/23/2021,"13,227.70",265.81
3/22/2021,"13,377.54",149.84
3/19/2021,"13,215.24",-162.3
3/18/2021,"13,116.17",-99.07
3/17/2021,"13,525.20",409.03
3/16/2021,"13,471.57",-53.63
3/15/2021,"13,459.71",-11.86
3/12/2021,"13,319.86",-139.85
3/11/2021,"13,398.67",78.81
3/10/2021,"13,068.83",-329.84
3/9/2021,"13,073.82",4.99
3/8/2021,"12,609.16",-464.66
3/5/2021,"12,920.15",310.99
3/4/2021,"12,723.47",-196.68
3/3/2021,"12,997.75",274.28
3/2/2021,"13,358.79",361.04
3/1/2021,"13,588.83",230.04
2/26/2021,"13,192.35",-396.48
2/25/2021,"13,119.43",-72.92
2/24/2021,"13,597.97",478.54
2/23/2021,"13,465.20",-132.77
2/22/2021,"13,533.05",67.85
2/19/2021,"13,874.46",341.41
2/18/2021,"13,865.36",-9.1
2/17/2021,"13,965.49",100.13
2/16/2021,"14,047.50",82.01
2/12/2021,"14,095.47",47.97
2/11/2021,"14,025.77",-69.7
2/10/2021,"13,972.53",-53.24
2/9/2021,"14,007.70",35.17
2/8/2021,"13,987.64",-20.06
2/5/2021,"13,856.30",-131.34
2/4/2021,"13,777.74",-78.56
2/3/2021,"13,610.54",-167.2
2/2/2021,"13,612.78",2.24
2/1/2021,"13,403.39",-209.39
1/29/2021,"13,070.69",-332.7
1/28/2021,"13,337.16",266.47
1/27/2021,"13,270.60",-66.56
1/26/2021,"13,626.06",355.46
1/25/2021,"13,635.99",9.93
1/22/2021,"13,543.06",-92.93
1/21/2021,"13,530.91",-12.15
1/20/2021,"13,457.25",-73.66
1/19/2021,"13,197.18",-260.07
1/15/2021,"12,998.50",-198.68
1/14/2021,"13,112.64",114.14
1/13/2021,"13,128.95",16.31
1/12/2021,"13,072.43",-56.52
1/11/2021,"13,036.43",-36
1/8/2021,"13,201.98",165.55
1/7/2021,"13,067.48",-134.5
1/6/2021,"12,740.79",-326.69
1/5/2021,"12,818.96",78.17
1/4/2021,"12,698.45",-120.51
12/31/2020,"12,888.28",189.83
12/30/2020,"12,870.00",-18.28
12/29/2020,"12,850.22",-19.78
12/28/2020,"12,899.42",49.2
12/24/2020,"12,804.73",-94.69
12/23/2020,"12,771.11",-33.62
12/22/2020,"12,807.92",36.81
12/21/2020,"12,742.52",-65.4
12/18/2020,"12,755.64",13.12
12/17/2020,"12,764.75",9.11
12/16/2020,"12,658.19",-106.56
12/15/2020,"12,595.06",-63.13
12/14/2020,"12,440.04",-155.02
12/11/2020,"12,377.87",-62.17
12/10/2020,"12,405.81",27.94
12/9/2020,"12,338.95",-66.86
12/8/2020,"12,582.77",243.82
12/7/2020,"12,519.95",-62.82
12/4/2020,"12,464.23",-55.72
12/3/2020,"12,377.18",-87.05
12/2/2020,"12,349.37",-27.81
12/1/2020,"12,355.11",5.74
11/30/2020,"12,198.74",-156.37
11/27/2020,"12,205.85",7.11
11/25/2020,"12,094.40",-111.45
11/24/2020,"12,036.79",-57.61
11/23/2020,"11,880.63",-156.16
11/20/2020,"11,854.97",-25.66
11/19/2020,"11,904.71",49.74
11/18/2020,"11,801.60",-103.11
