Date,Close,Returns
10/12/2021,"4,350.65",
10/11/2021,"4,361.19",10.54
10/8/2021,"4,391.34",30.15
10/7/2021,"4,399.76",8.42
10/6/2021,"4,363.55",-36.21
10/5/2021,"4,345.72",-17.83
10/4/2021,"4,300.46",-45.26
10/1/2021,"4,357.04",56.58
9/30/2021,"4,307.54",-49.5
9/29/2021,"4,359.46",51.92
9/28/2021,"4,352.63",-6.83
9/27/2021,"4,443.11",90.48
9/24/2021,"4,455.48",12.37
9/23/2021,"4,448.98",-6.5
9/22/2021,"4,395.64",-53.34
9/21/2021,"4,354.19",-41.45
9/20/2021,"4,357.73",3.54
9/17/2021,"4,432.99",75.26
9/16/2021,"4,473.75",40.76
9/15/2021,"4,480.70",6.95
9/14/2021,"4,443.05",-37.65
9/13/2021,"4,468.73",25.68
9/10/2021,"4,458.58",-10.15
9/9/2021,"4,493.28",34.7
9/8/2021,"4,514.07",20.79
9/7/2021,"4,520.03",5.96
9/3/2021,"4,535.43",15.4
9/2/2021,"4,536.95",1.52
9/1/2021,"4,524.09",-12.86
8/31/2021,"4,522.68",-1.41
8/30/2021,"4,528.79",6.11
8/27/2021,"4,509.37",-19.42
8/26/2021,"4,470.00",-39.37
8/25/2021,"4,496.19",26.19
8/24/2021,"4,486.23",-9.96
8/23/2021,"4,479.53",-6.7
8/20/2021,"4,441.67",-37.86
8/19/2021,"4,405.80",-35.87
8/18/2021,"4,400.27",-5.53
8/17/2021,"4,448.08",47.81
8/16/2021,"4,479.71",31.63
8/13/2021,"4,468.00",-11.71
8/12/2021,"4,460.83",-7.17
8/11/2021,"4,447.70",-13.13
8/10/2021,"4,436.75",-10.95
8/9/2021,"4,432.35",-4.4
8/6/2021,"4,436.52",4.17
8/5/2021,"4,429.10",-7.42
8/4/2021,"4,402.66",-26.44
8/3/2021,"4,423.15",20.49
8/2/2021,"4,387.16",-35.99
7/30/2021,"4,395.26",8.1
7/29/2021,"4,419.15",23.89
7/28/2021,"4,400.64",-18.51
7/27/2021,"4,401.46",0.82
7/26/2021,"4,422.30",20.84
7/23/2021,"4,411.79",-10.51
7/22/2021,"4,367.48",-44.31
7/21/2021,"4,358.69",-8.79
7/20/2021,"4,323.06",-35.63
7/19/2021,"4,258.49",-64.57
7/16/2021,"4,327.16",68.67
7/15/2021,"4,360.03",32.87
7/14/2021,"4,374.30",14.27
7/13/2021,"4,369.21",-5.09
7/12/2021,"4,384.63",15.42
7/9/2021,"4,369.55",-15.08
7/8/2021,"4,320.82",-48.73
7/7/2021,"4,358.13",37.31
7/6/2021,"4,343.54",-14.59
7/2/2021,"4,352.34",8.8
7/1/2021,"4,319.94",-32.4
6/30/2021,"4,297.50",-22.44
6/29/2021,"4,291.80",-5.7
6/28/2021,"4,290.61",-1.19
6/25/2021,"4,280.70",-9.91
6/24/2021,"4,266.49",-14.21
6/23/2021,"4,241.84",-24.65
6/22/2021,"4,246.44",4.6
6/21/2021,"4,224.79",-21.65
6/18/2021,"4,166.45",-58.34
6/17/2021,"4,221.86",55.41
6/16/2021,"4,223.70",1.84
6/15/2021,"4,246.59",22.89
6/14/2021,"4,255.15",8.56
6/11/2021,"4,247.44",-7.71
6/10/2021,"4,239.18",-8.26
6/9/2021,"4,219.55",-19.63
6/8/2021,"4,227.26",7.71
6/7/2021,"4,226.52",-0.74
6/4/2021,"4,229.89",3.37
6/3/2021,"4,192.85",-37.04
6/2/2021,"4,208.12",15.27
6/1/2021,"4,202.04",-6.08
5/28/2021,"4,204.11",2.07
5/27/2021,"4,200.88",-3.23
5/26/2021,"4,195.99",-4.89
5/25/2021,"4,188.13",-7.86
5/24/2021,"4,197.05",8.92
5/21/2021,"4,155.86",-41.19
5/20/2021,"4,159.12",3.26
5/19/2021,"4,115.68",-43.44
5/18/2021,"4,127.83",12.15
5/17/2021,"4,163.29",35.46
5/14/2021,"4,173.85",10.56
5/13/2021,"4,112.50",-61.35
5/12/2021,"4,063.04",-49.46
5/11/2021,"4,152.10",89.06
5/10/2021,"4,188.43",36.33
5/7/2021,"4,232.60",44.17
5/6/2021,"4,201.62",-30.98
5/5/2021,"4,167.59",-34.03
5/4/2021,"4,164.66",-2.93
5/3/2021,"4,192.66",28
4/30/2021,"4,181.17",-11.49
4/29/2021,"4,211.47",30.3
4/28/2021,"4,183.18",-28.29
4/27/2021,"4,186.72",3.54
4/26/2021,"4,187.62",0.9
